review,author,date,star_rating
"agak kecewa sama bahan ya ternyata cringkel salah saya sendiri si nggak baca kebawah Celana kargo serbaguna untuk berbagai acara., Kain nyaman dan bernapas., Celana kargo yang trendi dan fungsional., Celana kargo yang stylish dan modis.,",A***a,20 Des 2023,5
"Bahan: adem tp ga begitu tipis
 Ukuran: jumbo
 Rancangan: 
bahanya adem banget enak buat sehari hari aja sih, udh pesen size jumbo tp di paha ngepas dan cuman rada kepanjangan aja sih cuma oke harganya murah jadi buat sehari hari aja .. dan sampenya  cepet banget",Monica,18 Des 2023,5
"baguuussss, di aku tinggi 165 pas ga cingkrang,, trs ya sesuai harga lah,, warnanya beda sama difoto,, bjku 50 kebesaran bagian pinggang",oooo,2 hari lalu,5
"Bahan:bagus
 Ukuran:kebesaran 
 Rancangan:ok

bagus celananya sesuai yang dipesan, tapi pinggangnya kegedean dikit sm kepanjangan TB/bb ku 151/41. Tapi gpp bisa dikecilin. Trs warna putihnya nerawang harus pake legging lgi",R***a,3 minggu lalu,5
"Bahan:bagus
 Ukuran:pinggangnya kebesaran dikit


Bagus celananya, sesuai yg dipesan. Tapi sayang agak kegedean doang sih, tb/bb ku 151/41. Tapi gpp ntar bisa dikecilin",R***a,3 minggu lalu,5
skstkalxhldhldyr5is5isiyhxbzgkzfjstjdupfp gkzfjTidyfilv nvjlxti ,*********541,17 Des 2023,5
pengiriman cepat kurir ramah...bahanya gak sesuai ekspektasi ku tp gpp lah harga segitu kan ya...makasih ,Ayuk I.,14 Des 2023,4
"Alhamdulillah barang sudah sampai dengan aman terimakasih seller Lazada dan Abang kurirnya

 Bahan:lembut dan halus sedikit terawang 
 Ukuran:pas untuk anak ku karena ada karet 
 Rancangan:sesuai keinginan
proses pengiriman cepat.Sekalilagi terimakasih untuk semuanya  ",Novia R.,05 Nov 2023,5
"Celana kargo serbaguna untuk berbagai acara., Mudah dipadukan dengan berbagai outfit., Kain nyaman dan bernapas.,  ",N***.,3 minggu lalu,4
"Bagus untuk aktivitas di luar ruangan., Desain highwaist sedang trendi., Pas sempurna dengan desain high waist., Kain nyaman dan bernapas.,  ",Viraa,02 Des 2023,5
ukuran dan warna sesuai permintaan. tokonya amanah. katinganya bagus pas di badan. cuma jahitannya kendur2. di pakai sekali bolong2 lepas benang. ,mamah R.,2 hari lalu,5
"bagussss banget dong rekomen dehh pokoknya buat  kalian""✌️😊 ",c***.,5 hari lalu,5
